File ./data/contriever-768/contriever-768_query.fvecs loaded
Rows 10000 Cols 768
File ./data/contriever-768/contriever-768_groundtruth.ivecs loaded
Rows 10000 Cols 100
Metric Type: L2
cur_element_count = 990000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	8791.71	0.62595	
20	6442.29	0.76251	
40	4498.93	0.85182	
50	3907.05	0.8727	
60	3150.88	0.8864	
80	2849.61	0.90535	
100	2417.92	0.91756	
150	1726.41	0.93357	
170	1554.73	0.93731	
190	1412.19	0.9402	
200	1350.76	0.94171	
250	1104.73	0.947	
300	921.769	0.95084	
400	693.49	0.95738	
500	552.542	0.9603	
600	455.211	0.96257	
700	388.681	0.96432	
800	337.168	0.96567	
1000	264.362	0.96741	
1500	170.383	0.97075	
2000	123.528	0.97209	
2500	99.0523	0.97311	
3000	81.334	0.97392	
