File ./data/contriever-768/contriever-768_query.fvecs loaded
Rows 10000 Cols 768
File ./data/contriever-768/contriever-768_groundtruth.ivecs loaded
Rows 10000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	2092.35	0.602897
10	1753.59	0.694092
20	1395.94	0.768256
30	1182.49	0.805143
40	1031.86	0.828706
50	914.181	0.845427
60	822.332	0.858282
70	750.99	0.868473
80	692.819	0.876834
90	643.272	0.883831
100	600.377	0.890051
110	564.106	0.895497
120	531.469	0.900248
130	504.021	0.904503
140	479.195	0.908535
150	457.286	0.912159
160	457.221	0.915534
170	417.578	0.918639
180	400.752	0.921543
190	385.424	0.9241
200	385.452	0.926648
240	333.327	0.935531
280	293.462	0.942962
320	262.154	0.949251
360	236.384	0.954562
400	214.621	0.9593
500	165.727	0.969045
600	150.452	0.976277
700	126.254	0.98205
800	118.209	0.986423
900	101.67	0.989784
1000	96.8713	0.992383
1100	84.4728	0.994222
1200	84.4903	0.995501
1300	76.2654	0.996325
1400	76.0515	0.996777
1500	67.8106	0.997012
