File ./data/deep-image-96-angular/deep-image-96-angular_query.fvecs loaded
Rows 10000 Cols 96
File ./data/deep-image-96-angular/deep-image-96-angular_groundtruth.ivecs loaded
Rows 10000 Cols 100
Metric Type: L2
cur_element_count = 9990000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	16785.5	0.60596	
20	11796.9	0.741	
40	7896.93	0.84563	
50	6798.99	0.87212	
60	6025.98	0.89089	
80	4904.74	0.91432	
100	4169.03	0.92923	
150	3032.01	0.94929	
170	2743.03	0.95381	
190	2518.68	0.95737	
200	2409.43	0.95855	
250	2016.76	0.96366	
300	1723.68	0.967	
400	1342.63	0.97071	
500	1096.22	0.97265	
600	927.949	0.97406	
700	813.179	0.97495	
800	709.475	0.97562	
1000	567.373	0.97651	
1500	369.851	0.97739	
2000	269.414	0.97778	
2500	211.862	0.97805	
3000	171.401	0.97826	
