File ./data/deep-image-96-angular/deep-image-96-angular_query.fvecs loaded
Rows 10000 Cols 96
File ./data/deep-image-96-angular/deep-image-96-angular_groundtruth.ivecs loaded
Rows 10000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	2708.11	0.57527
10	2391.9	0.70955
20	2026.21	0.81836
30	1788.5	0.866164
40	1614.43	0.892878
50	1490.9	0.90975
60	1392.54	0.921132
70	1310.77	0.929528
80	1237.58	0.935962
90	1174.74	0.940715
100	1116.12	0.944599
110	1061.83	0.947638
120	1016.17	0.950205
130	981.576	0.952266
140	944.26	0.954017
150	906.116	0.955511
160	880.681	0.956724
170	844.739	0.957726
180	817.282	0.958668
190	793.293	0.959424
200	773.065	0.960122
240	690.973	0.962158
280	620.248	0.963635
320	566.994	0.9646
360	523.326	0.965284
400	487.371	0.965812
500	413.639	0.966645
600	363.788	0.967117
700	322.767	0.967398
800	290.226	0.967548
900	264.156	0.967655
1000	242.92	0.967755
1100	225.175	0.96783
1200	209.568	0.96788
1300	196.199	0.967916
1400	183.866	0.96794
1500	173.49	0.967961
2000	135.239	0.968011
2500	111.341	0.968036
3000	94.3576	0.968044
