File ./data/gist-960-euclidean/gist-960-euclidean_query.fvecs loaded
Rows 1000 Cols 960
File ./data/gist-960-euclidean/gist-960-euclidean_groundtruth.ivecs loaded
Rows 1000 Cols 100
Metric Type: L2
cur_element_count = 1000000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	8053.53	0.4101	
20	5897.46	0.5398	
40	3934.86	0.6721	
50	3353.82	0.7154	
60	1441.65	0.749	
80	2149.86	0.7967	
100	2004.06	0.8269	
150	1428.61	0.8775	
170	1313.37	0.8894	
190	1197.63	0.9013	
200	1150.94	0.9066	
250	937.65	0.9241	
300	801.158	0.9387	
400	620.625	0.9534	
500	508.671	0.9626	
600	433.299	0.9688	
700	375.568	0.9728	
800	331.494	0.9756	
1000	271.868	0.9787	
1500	183.577	0.9833	
2000	142.657	0.9846	
2500	114.107	0.9856	
3000	95.0439	0.9865	
