File ./data/gist-960-euclidean/gist-960-euclidean_query.fvecs loaded
Rows 1000 Cols 960
File ./data/gist-960-euclidean/gist-960-euclidean_groundtruth.ivecs loaded
Rows 1000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	2060.83	0.37947
10	1719.15	0.52293
20	1356.2	0.6784
30	1141.1	0.76211
40	992.511	0.81615
50	879.672	0.85208
60	792.552	0.87824
70	722.966	0.89802
80	666.158	0.9133
90	617.896	0.92472
100	576.377	0.93445
110	540.159	0.94191
120	508.369	0.94777
130	461.357	0.95315
140	437.376	0.95719
150	439.57	0.96047
160	401.402	0.96279
170	383.471	0.96512
180	366.25	0.96688
190	367.483	0.96865
200	334.391	0.97008
240	287.121	0.97365
280	254.369	0.97586
320	227.246	0.97699
360	203.961	0.97781
400	185.708	0.97809
500	157.703	0.97861
600	136.01	0.97871
700	121.372	0.97874
800	107.288	0.97874
