File ./data/_glove-200-angular_100k/_glove-200-angular_100k_query.fvecs loaded
Rows 1000 Cols 200
File ./data/_glove-200-angular_100k/_glove-200-angular_100k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 100000
FhtKacRotator is selected
File ./data/_glove-200-angular_100k/_glove-200-angular_100k_query.fvecs loaded
Rows 1000 Cols 200
File ./data/_glove-200-angular_100k/_glove-200-angular_100k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 100000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	34453.3	0.6588	
20	24464.3	0.7714	
30	19022.5	0.8199	
40	15153.6	0.8467	
50	12875.7	0.865	
60	11218.9	0.8772	
70	9607.97	0.8856	
80	8407.65	0.8917	
90	7653.47	0.8976	
100	6889.41	0.9014	
110	5614.57	0.9051	
120	5104.05	0.9069	
130	4678.83	0.9098	
140	4300.83	0.9116	
150	4178.27	0.9127	
160	3880.36	0.9137	
170	3627.59	0.9148	
180	3424.24	0.9162	
190	3181.63	0.917	
200	2940.04	0.9189	
240	2463.26	0.9229	
280	2254.95	0.9265	
320	1971.35	0.9299	
360	1719.61	0.9309	
400	1488.08	0.9321	
500	1295.82	0.9351	
600	1130.92	0.9381	
700	974.307	0.9388	
800	849.443	0.9401	
900	753.45	0.9411	
1000	680.688	0.9415	
1100	663.641	0.9419	
1200	616.156	0.9421	
1300	575.758	0.9424	
1400	542.072	0.943	
1500	510.463	0.9432	
2000	396.286	0.9444	
2500	319.399	0.9445	
3000	268.066	0.945	
3500	230.624	0.9454	
4000	202.261	0.9457	
6000	143.89	0.9469	
10000	80.054	0.9474	
15000	48.0355	0.9479	
