File ./data/glove-200-angular_10k/glove-200-angular_10k_query.fvecs loaded
Rows 1000 Cols 200
File ./data/glove-200-angular_10k/glove-200-angular_10k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 10000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	41047	0.877	
20	28930.3	0.9246	
30	21871.3	0.9411	
40	17667.2	0.9487	
50	14804.2	0.9531	
60	12769.8	0.9571	
70	11505.1	0.9582	
80	10283.4	0.9593	
90	9438.19	0.9603	
100	8532.26	0.9611	
110	6880.73	0.9615	
120	6474.97	0.9623	
130	5958.41	0.9627	
140	5588.75	0.9632	
150	5302.2	0.9637	
160	5385.18	0.9644	
170	5180.62	0.9645	
180	4989.46	0.965	
190	4773.33	0.9655	
200	4543.41	0.9655	
240	3933.99	0.9668	
280	3558.51	0.9674	
320	3268.24	0.9681	
360	2873.34	0.9685	
400	2670.32	0.9688	
500	2372.77	0.9697	
600	2130.54	0.97	
700	1925.3	0.9702	
800	1891.27	0.9706	
900	1782.7	0.9711	
1000	1593.38	0.9712	
1100	1469.61	0.9714	
1200	1384.23	0.9716	
1300	1328.02	0.9719	
1400	1274.2	0.9721	
1500	1227.62	0.9724	
2000	1033.89	0.973	
2500	879.069	0.9732	
3000	774.647	0.9732	
3500	703.027	0.9734	
4000	668.035	0.9734	
6000	664.652	0.9734	
10000	662.801	0.9734	
15000	661.678	0.9734	
