File ./data/_glove-50-angular_100k/_glove-50-angular_100k_query.fvecs loaded
Rows 1000 Cols 50
File ./data/_glove-50-angular_100k/_glove-50-angular_100k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 100000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	46572.8	0.6078	
20	30641.9	0.7257	
30	23532.1	0.7839	
40	19576.6	0.8236	
50	16993.1	0.8493	
60	14656.6	0.8681	
70	12547	0.8834	
80	11157.7	0.8975	
90	10142.9	0.9078	
100	9211.03	0.9163	
110	7761	0.9234	
120	7048.47	0.9287	
130	6391.01	0.9341	
140	5812.01	0.9373	
150	5370.53	0.9411	
160	5132.12	0.9435	
170	4836.6	0.9469	
180	4530.66	0.9494	
190	4263.68	0.951	
200	4005.94	0.9533	
240	3244.49	0.9596	
280	2817.04	0.9628	
320	2422.47	0.965	
360	2111.73	0.9679	
400	1873.81	0.9694	
500	1529.82	0.9719	
600	1234.65	0.9732	
700	1029.84	0.974	
800	881.447	0.9747	
900	814.75	0.9756	
1000	730.261	0.9757	
1100	651.059	0.9759	
1200	590.001	0.9762	
1300	538.083	0.9768	
1400	495.412	0.9771	
1500	456.597	0.9772	
2000	357.185	0.9775	
2500	279.752	0.9781	
3000	229.83	0.9786	
3500	193.343	0.979	
4000	163.591	0.9793	
6000	114.083	0.9797	
10000	63.7571	0.9799	
15000	38.7822	0.9804	
