File ./data/instructorxl-arxiv-768/instructorxl-arxiv-768_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768/instructorxl-arxiv-768_groundtruth.ivecs loaded
Rows 1000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	1905.01	0.67634
10	1648.04	0.78292
20	1354.2	0.86599
30	1152.08	0.90183
40	1013.51	0.9221
50	901.947	0.93639
60	814.33	0.94585
70	742.779	0.95217
80	682.804	0.95759
90	633.912	0.96166
100	591.838	0.96447
110	554.138	0.96711
120	521.075	0.96921
130	467.612	0.97102
140	440.996	0.97258
150	441.021	0.97371
160	400.697	0.97473
170	382.132	0.97571
180	365.254	0.97641
190	368.143	0.97697
200	335.972	0.9777
240	289.103	0.9793
280	254.551	0.98034
320	230.14	0.98094
360	208.662	0.98139
400	189.987	0.98168
500	156.083	0.98217
600	132.578	0.98234
700	115.436	0.98242
800	102.374	0.98248
900	91.9076	0.98252
1000	83.4114	0.98255
1100	76.3548	0.98259
1200	70.4123	0.98261
1300	65.3458	0.98261
