File ./data/instructorxl-arxiv-768_1000k/instructorxl-arxiv-768_1000k_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768_1000k/instructorxl-arxiv-768_1000k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 1000000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	9301.03	0.7421	
20	7249.54	0.8458	
30	5948.82	0.8924	
40	4993.2	0.9177	
50	4348.68	0.9319	
60	3861.38	0.943	
70	3469.01	0.9499	
80	3141.19	0.9566	
90	2881.25	0.9611	
100	2681.64	0.9652	
110	2453.85	0.9678	
120	2304.78	0.9697	
130	2155.24	0.9703	
140	2037.52	0.9717	
150	1916.07	0.974	
160	1814.43	0.9751	
170	1733.03	0.9759	
180	1649.24	0.9762	
190	1579.68	0.9768	
200	1514.75	0.9777	
240	1300.33	0.9796	
280	1130.49	0.981	
320	855.875	0.9819	
360	871.275	0.9826	
400	830.692	0.9833	
500	679.644	0.9843	
600	574.491	0.9849	
700	500.156	0.985	
800	444.592	0.9852	
900	393.82	0.9854	
1000	356.084	0.9856	
1100	326.249	0.9857	
1200	300.482	0.9857	
1300	274.897	0.9859	
1400	256.497	0.986	
1500	238.627	0.986	
2000	182.723	0.9862	
2500	144.111	0.9863	
3000	121.775	0.9866	
3500	104.216	0.9867	
4000	90.876	0.9867	
6000	58.6682	0.9868	
10000	34.0852	0.9868	
15000	21.2837	0.9868	
