File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Metric Type: L2
cur_element_count = 100000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	11626.5	0.7758	
20	8958.8	0.8751	
30	7330.93	0.9151	
40	6182.55	0.935	
50	5418.94	0.9515	
60	4844.31	0.9597	
70	4464.25	0.9648	
80	4079.45	0.9688	
90	3759.78	0.9717	
100	3467.43	0.9747	
110	3188.23	0.9772	
120	2979.64	0.979	
130	2744.85	0.9808	
140	2604.43	0.9817	
150	2469.7	0.9831	
160	2332.96	0.9839	
170	2228.5	0.984	
180	2123.04	0.9846	
190	2028.34	0.9849	
200	1942.34	0.9854	
240	1674.87	0.9866	
280	1471.23	0.9874	
320	1333.16	0.9884	
360	1208.79	0.9887	
400	1116.23	0.9888	
500	910.098	0.9891	
600	781.894	0.9892	
700	682.029	0.9894	
800	606.215	0.9896	
900	546.326	0.9898	
1000	496.037	0.9898	
1100	466.683	0.9901	
1200	427.412	0.9901	
1300	399.627	0.9901	
1400	371.71	0.9901	
1500	354.104	0.9901	
2000	270.708	0.9903	
2500	226.042	0.9903	
3000	192.369	0.9903	
3500	166.628	0.9903	
4000	145.726	0.9903	
6000	102.371	0.9903	
10000	60.724	0.9903	
15000	38.8365	0.9903	
