File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_query.fvecs loaded
Rows 1000 Cols 768
File ./data/instructorxl-arxiv-768_100k/instructorxl-arxiv-768_100k_groundtruth.ivecs loaded
Rows 1000 Cols 10
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
10	8722.35	0.9015
20	6417.95	0.9581
30	5154.32	0.9753
40	4334.12	0.9823
50	3750.8	0.9874
60	3304.25	0.9886
70	2957.12	0.99
80	2681.22	0.991
90	2450.87	0.9915
100	2255.65	0.9915
