File ./data/msong-420/msong-420_query.fvecs loaded
Rows 1000 Cols 420
File ./data/msong-420/msong-420_groundtruth.ivecs loaded
Rows 1000 Cols 100
Metric Type: L2
cur_element_count = 983185
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	16950	0.7537	
20	12765.6	0.8646	
40	8687.5	0.9371	
50	7537.31	0.9501	
60	6710.8	0.9576	
80	5389.63	0.9659	
100	4665.18	0.9705	
150	3408.41	0.9763	
170	3094.2	0.9773	
190	2849.43	0.9779	
200	2732.63	0.9782	
250	2326.56	0.9792	
300	1981.38	0.98	
400	1546.83	0.9804	
500	1285.84	0.9807	
600	1083.06	0.981	
700	952.995	0.981	
800	835.081	0.981	
1000	677.045	0.981	
1500	464.38	0.9811	
2000	346.997	0.9811	
2500	279.969	0.9812	
3000	232.105	0.9812	
