File ./data/msong-420/msong-420_query.fvecs loaded
Rows 1000 Cols 420
File ./data/msong-420/msong-420_groundtruth.ivecs loaded
Rows 1000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	3052.98	0.73597
10	2561.95	0.87441
20	2056.28	0.95203
30	1749.41	0.97364
40	1540.58	0.98305
50	1385.64	0.98745
60	1256.12	0.98978
70	1148.21	0.99129
80	1063.53	0.99221
90	985.837	0.9929
100	917.934	0.99331
110	863.75	0.99367
120	813.15	0.99391
130	783.697	0.99403
140	748.351	0.99413
150	706.815	0.99423
160	673.331	0.99431
170	642.762	0.9944
180	635.173	0.99449
190	588.318	0.99453
200	568.207	0.99455
240	497.058	0.99467
280	441.244	0.99474
320	397.057	0.99475
360	359.323	0.99476
