File ./data/openai-1536-angular/openai-1536-angular_query.fvecs loaded
Rows 1000 Cols 1536
File ./data/openai-1536-angular/openai-1536-angular_groundtruth.ivecs loaded
Rows 1000 Cols 100
Metric Type: L2
cur_element_count = 999000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	4976.66	0.7557	
20	3698.8	0.8589	
40	1244.39	0.9254	
50	1852.27	0.9385	
60	1898.51	0.9492	
80	1544.96	0.9596	
100	1361.59	0.9675	
150	995.625	0.9804	
170	908.458	0.9829	
190	833.956	0.9855	
200	800.92	0.986	
250	666.906	0.9878	
300	570.984	0.9906	
400	448.346	0.992	
500	368.31	0.9924	
600	314.014	0.9933	
700	272.974	0.9937	
800	241.712	0.9944	
1000	197.534	0.9953	
1500	134.958	0.996	
2000	103.317	0.9964	
2500	82.9524	0.997	
3000	69.687	0.9972	
