File ./data/openai-1536-angular/openai-1536-angular_query.fvecs loaded
Rows 1000 Cols 1536
File ./data/openai-1536-angular/openai-1536-angular_groundtruth.ivecs loaded
Rows 1000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	1295.29	0.69939
10	1161.76	0.77581
20	983.659	0.836
30	861.036	0.86713
40	771.386	0.88725
50	695.841	0.90166
60	638.095	0.91287
70	586.661	0.92199
80	546.284	0.92937
90	507.996	0.93553
100	478.426	0.94043
110	448.754	0.94454
120	424.452	0.94842
130	382.605	0.95162
140	363.285	0.95468
150	363.886	0.95761
160	329.493	0.96024
170	314.925	0.96227
180	301.834	0.96411
190	305.739	0.96632
200	278.075	0.96833
240	240.21	0.97358
280	211.185	0.97735
320	189.271	0.98036
360	171.315	0.98313
400	157.112	0.98519
500	130.84	0.98934
600	111.418	0.99165
700	97.2243	0.99312
800	86.3368	0.99437
900	77.8936	0.99525
1000	70.9569	0.99587
1100	64.9623	0.99639
1200	59.9171	0.99684
1300	55.7461	0.9972
