File ./data/sift-128-euclidean/sift-128-euclidean_query.fvecs loaded
Rows 10000 Cols 128
File ./data/sift-128-euclidean/sift-128-euclidean_groundtruth.ivecs loaded
Rows 10000 Cols 100
Metric Type: L2
cur_element_count = 1000000
FhtKacRotator is selected
search start >.....
EF	QPS	Recall	
10	25871.3	0.70569	
20	18116.6	0.83206	
40	11955.5	0.91584	
50	10291.1	0.93296	
60	9036.7	0.94455	
80	7287.82	0.95892	
100	6131.33	0.96657	
150	4287.05	0.97516	
170	3832.19	0.97675	
190	3461.18	0.97778	
200	3297.03	0.97813	
250	2695.3	0.97947	
300	2246.37	0.98039	
400	1702.33	0.9812	
500	1356.28	0.98152	
600	1110.29	0.9817	
700	956.481	0.98179	
800	826.934	0.98183	
1000	662.806	0.9819	
1500	421.393	0.98195	
2000	316.679	0.98195	
2500	244.879	0.98195	
3000	198.075	0.98195	
