File ./data/sift-128-euclidean/sift-128-euclidean_query.fvecs loaded
Rows 10000 Cols 128
File ./data/sift-128-euclidean/sift-128-euclidean_groundtruth.ivecs loaded
Rows 10000 Cols 100
Loading IVF...
	Loading meta data...
FhtKacRotator is selected
Allocating memory for IVF...
Index loaded
nprobe	QPS	recall
5	6972.49	0.578164
10	5407.91	0.728946
20	4107.79	0.85408
30	3458.56	0.908821
40	3043.34	0.938205
50	2749.01	0.955879
60	2489.87	0.967568
70	2332.68	0.975332
80	2182.18	0.980623
90	2053.02	0.984463
100	1940.86	0.987285
110	1840.93	0.9894
120	1755.58	0.991076
130	1680.91	0.9923
140	1612.54	0.993207
150	1552.39	0.993915
160	1499.7	0.994507
170	1449.14	0.994941
180	1402.89	0.995355
190	1359.28	0.995649
200	1322.76	0.995882
240	1184.17	0.996456
280	1070.86	0.996744
320	975.941	0.996875
360	896.133	0.996947
400	830.645	0.996981
500	708.603	0.997011
